text,label
dung dc sp tot cam on shop đóng gói sản phẩm rất đẹp và chắc chắn chất lượng sản phẩm tuyệt vời,0
chất lượng sản phẩm tuyệt vời  son mịn nhưng khi đánh lên không như màu trên ảnh,0
chất lượng sản phẩm tuyệt vời nhưng k có hộp k có dây giày đen k có tất,0
mình hơi thất vọng 1 chút vì mình đã kỳ vọng cuốn sách khá nhiều hi vọng nó sẽ nói về việc học tập của cách sinh viên trường harvard ra sao những nỗ lực của họ như thế nào 4h sáng tại sao họ lại phải thức dậy vào thời khắc đấy sau đó là cả một câu chuyện ra sao cái mình thực sự cần ở đây là câu chuyện ẩn dấu trong đó để tự bản thân mỗi người cảm nhận và đi sâu vào lòng người hơn còn cuốn sách này chỉ đơn thuần là cuốn sách dạy kĩ năng mà hầu như sách nào cũng đã có buồn,1
lần trước mình mua áo gió màu hồng rất ok mà đợt này lại giao 2 cái áo gió chất khác như vải mưa ý,1
chất lượng sản phẩm tuyệt vời có điều không cứng cáp với không cố định dáng nói chung đẹp hợp túi tiền,0
đã nhận đc hàng rất nhanh mới đặt buổi tối mà trưa mai là có rồi  đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt,0
các siêu phẩm thấy cấu hình toàn tựa tựa nhau ko còn sự đột phá lớn nữa chỉ là nâng cấp khác nhau về kiểu dáng htc này vs giá trên thật lòng khó cạnh tranh mạnh vs siêu phẩm khác chỉ dành cho fan của họ thôi,1
hàng ship nhanh  chất lượng tốt  tư vấn nhiệt tình ship rất đung size sẽ ủng hộ shop nhìu ❤️,0
đồng hồ đẹp nhưng 1 cái đứt dây  1 cái k chạy  mua ve phải sửa,1
chất lượng sản phẩm tuyệt vờiy hình chụpđáng tiền,0
hjhj shop giao hàng nhanh quá đẹp lắm ạ bé nhà m rất thích,0
nhìn đẹp phết nhỉ,0
đóng gói rất đẹp chất lượng sản phẩm rất tốt  chất lượng sản phẩm tuyệt vời,0
săn đc với giá 11k toẹt vời,0
ok rất hài lòng,0
giao thiếu mình cái này rồi shop ơi tt,1
chất lượng sản phẩm tuyệt vời tôi rất thích,0
giày đẹp lắm có điều dây hơi ngắn tí ạ  chất lượng sản phẩm tuyệt vời,0
yếm vải đẹp nhưng ít mẫu đẹp,0
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền rất đáng tiền giao hàng hôm sau là có,0
không hài lòng sản phẩm cho lắm giặt lan đầu tiên da nhoe màu hết rồi,1
giao hàng nhanh mặc đẹp cám ơn shop,0
chất lượng sản phẩm tuyệt vời bao bì cute phô mai que son đánh mịn cực không có bị bột à còn giao hành max nhanh luôn,0
đồng hồ thì đẹp thật nhưng tại sao kim lúc chạy lúc đứng nhắn tin thì ko trả lời mấy bạn lưu ý đừng mua nữa,1
giao hàng siêu nhanh đóng gói cẩn thận và tư vấn nhiệt tình hạt điều thấm vị và giòn,0
cũng hơi bất tiện xu thế này e rằng đa phằn người dùng sẽ không ưa thích,1
toàn hàng trungkhi mua quên ko coi kĩ,1
đóng gói sản phẩm rất đẹp và chắc chắn được shop tặng thêm quà nữa 😘,0
hôm nay chiên thử cá hồi cá chiên ăn ngọt hơn chiên kiểu truyền thống vì giữ đc nước   chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn,0
máy này có cái cpu k phải skylake là thấy không hay rồi,1
hàng vận chuyển bị nứt mẻ 1 gócchất lượng ok,0
sạc tự động ngắt pin,0
shop giao hàng kh giống màu,1
shop giao sai màu đặt màu xanh da trời shop giao màu nõn chuối đặc biệt sản phẩm đã sai màu còn bị vỡ phần nắp và chốt ko sd được chat shop ko tl đến lúc khách nhấn hoàn hàng mới tl sơ sài và ko đồng ý hoàn rất thất vọng về cách làm việc của shop may mà shopee lấy lại công bằng và hoàn tiền,1
khong thay den sang,1
so với giá thì chất lượng tuyệt vời capo khá chắc chắn và đẹp,0
không cầm pin không sử dụng được  chất lượng sản phẩm rất kém,1
những nước phát triển hàng trăm năm cũng không ai làm tầng ngầm dưới đường cao tốc cả  xe điện ngầm ra ngoại ô cũng thành nổi để tiết kiệm chi phí,1
shop phục vụ rất tốt   thời gian giao hàng rất nhanh,0
sản phẩm tốt hỗ trợ khách hàng nhiệt tình,0
giày đẹp mang êm và vừa chân lắm nha shop,0
chất liệu và kiểu dáng thì được nhưng quần hơi ngắn,0
hàng bị lỗi nhiều quá màn hình cháy phim bị bong,1
chất lượng sản phẩm tuyệt vời thời gian giao hàng rất nhanh ngon sẽ ủng hộ shop dài dài,0
chưa dùng nhưng nghe bạn m dùng r fb chất lượng khá tốt serum thơm mùu bưởi có 1 góp ý là shop nên thay lọ đựng sang loại khác vì bọn m mua nhiều lần thấy hầu hết các lọ vòi xịt đều k ổn,0
uống rất ngon giao hàng nhanh chất lượng sản phẩm tuyệt vời 😋😋😋😋,0
shop bảo làm theo yêu cầu theo yêu cầu là phải có cao su chống trượt mà không theo yêu cầu thôi nhịn đắng cục tức vậy các bạn mua nên chú ý sẵn không lại ngậm cục tức như mình di bị rơi mấy lần lại lôi kê tay cũ ra xài,1
rẻ lầm chất lượng lém,0
huỷ trước khi shop giao cho ship để đổi màu mà shop k nhận đơn huỷ vẫn cố giao,1
đóng gói sản phẩm rất kémtư vấn k nhiệt tình,1
sản phẩm tốt ưng ý,0
e xay đá mà bị gãy ko xay dc ạ,0
sản phẩm rất đẹp y hình và chất lượng rất tuyệt vời mik mua một lúc 5 đôi luôn mik sẽ ủng hộ shop dài dài,0
sản phẩm không an toàn quá nguy hiểm cho người sử dụng không đáng để mua sp này quá sai lầm khi mua,1
thời gian giao hàng lâu đặt mũ len mèo màu ghi xám lại giao màu vàng khẩu trang xô mỏng tangk biết có phải do giá sale k mà chất lượng chán thế,1
chất lượng sản phẩm tuyệt vời hơi cũ tí nhưng mượt lắm thanks shop,0
sản phẩm k như mình mong đợik cài dc đồ chơi vàoghế hơi bất tiện khi sử dụng,0
hôm nay tình cờ đọc được bài viết của bạn mình cảm thấy rất vui,1
đóng gói sản phẩm rất chắc chắn sản phẩm rất dày dặn thời gian giao hàng rất nhanh,0
áo vs giày siêu yêu ạ,0
mang đi công tác rất tiện lợi dùng rất mượt ko lo bị trầy xước,0
chất lượng quá kém giao hàng không đúng mẫu  khuyên mọi người không nên mua hàng của shop,1
đặt lần 2 rồi mà giao hàng lâu quá vậy,1
khăn dày đẹp,0
đặt tat bé giao tat nguoi lon giao lộn hỏi k tl,1
